Bank_Code,Bank_Name,Branch_Code,Atm_Num,ATM_Address,ATM_Address_Extra,City,Commission,ATM_Type,ATM_Location,Handicap_Access,X_Coordinate,Y_Coordinate
13,"13001-בנק אגוד לישראל בע""מ",157,1572,ויצמן 32,,תל אביב -יפו,לא,מכשיר מידע/או מתן הוראות,על קיר הסניף,לא,34.789425,32.084588
13,"13001-בנק אגוד לישראל בע""מ",192,1922,הגדוד העברי 10,,אשקלון,לא,מכשיר מידע/או מתן הוראות,על קיר הסניף,כן,34.585473,31.665121
13,"13001-בנק אגוד לישראל בע""מ",192,1921,הגדוד העברי 10,,אשקלון,לא,משיכת מזומן,על קיר הסניף,כן,34.585473,31.665121
13,"13001-בנק אגוד לישראל בע""מ",158,1581,פנחס אילון 13,חולון,חולון,לא,משיכת מזומן,במרחק של עד 500 מטר מהסניף,כן,34.778362,32.008634
13,"13001-בנק אגוד לישראל בע""מ",159,1591,ז'בוטינסקי 20,,ראשון לציון,לא,משיכת מזומן,על קיר הסניף,לא,34.800053,31.96343
13,"13001-בנק אגוד לישראל בע""מ",165,1651,שמגר 10,,ירושלים,לא,משיכת מזומן,על קיר הסניף,כן,35.208529,31.793049
13,"13001-בנק אגוד לישראל בע""מ",51,511,בן יהודה 1,,ירושלים,לא,משיכת מזומן,על קיר הסניף,כן,35.219344,31.781775
13,"13001-בנק אגוד לישראל בע""מ",62,621,ז'בוטינסקי 1,,רמת גן,לא,משיכת מזומן,על קיר הסניף,כן,34.800452,32.082928
13,"13001-בנק אגוד לישראל בע""מ",63,631,אחוזת בית 6,,תל אביב -יפו,לא,משיכת מזומן,על קיר הסניף,כן,34.770454,32.06426
13,"13001-בנק אגוד לישראל בע""מ",64,641,אהרון בקר 8,,תל אביב -יפו,לא,משיכת מזומן,על קיר הסניף,לא,34.816495,32.12303
13,"13001-בנק אגוד לישראל בע""מ",66,661,גורדון 42,,תל אביב -יפו,לא,משיכת מזומן,על קיר הסניף,כן,34.773687,32.081715
13,"13001-בנק אגוד לישראל בע""מ",70,701,ההסתדרות 26,,פתח תקווה,לא,משיכת מזומן,על קיר הסניף,לא,34.886827,32.086067
13,"13001-בנק אגוד לישראל בע""מ",71,711,שדרות ירושלים 12,,אשדוד,לא,משיכת מזומן,על קיר הסניף,לא,34.639519,31.795554
13,"13001-בנק אגוד לישראל בע""מ",72,721,סוקולוב 38,,הרצלייה,לא,משיכת מזומן,על קיר הסניף,לא,34.844708,32.167074
13,"13001-בנק אגוד לישראל בע""מ",73,731,ניסנבאום 33,,בת ים,לא,משיכת מזומן,על קיר הסניף,לא,34.752276,32.012404
13,"13001-בנק אגוד לישראל בע""מ",74,741,משה לוי 11,,ראשון לציון,לא,משיכת מזומן,על קיר הסניף,לא,34.774043,31.989113
13,"13001-בנק אגוד לישראל בע""מ",75,751,אחוזה 153 153,,רעננה,לא,משיכת מזומן,על קיר הסניף,כן,34.870682,32.181288
13,"13001-בנק אגוד לישראל בע""מ",76,761,משה דיין 14,,פתח תקווה,לא,משיכת מזומן,על קיר הסניף,לא,34.861778,32.095662
13,"13001-בנק אגוד לישראל בע""מ",78,781,המלאכה 22,,ראש העין,לא,משיכת מזומן,על קיר הסניף,כן,34.964501,32.108922
13,"13001-בנק אגוד לישראל בע""מ",79,791,הסדנאות 9,,הרצלייה,לא,משיכת מזומן,על קיר הסניף,לא,34.80644,32.161023
13,"13001-בנק אגוד לישראל בע""מ",81,811,"פלי""ם 6",,חיפה,לא,משיכת מזומן,על קיר הסניף,כן,35.000336,32.816731
13,"13001-בנק אגוד לישראל בע""מ",83,831,מחניים 4,,חיפה,לא,משיכת מזומן,על קיר הסניף,כן,34.98615,32.803547
13,"13001-בנק אגוד לישראל בע""מ",83,832,מחניים 4,,חיפה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,34.98615,32.803547
13,"13001-בנק אגוד לישראל בע""מ",91,911,שטמפפר 17,,נתניה,לא,משיכת מזומן,על קיר הסניף,כן,34.853753,32.327605
13,"13001-בנק אגוד לישראל בע""מ",92,921,הרברט סמואל 57,,חדרה,לא,משיכת מזומן,על קיר הסניף,לא,34.919315,32.437226
13,"13001-בנק אגוד לישראל בע""מ",93,931,אחד העם 1,,רחובות,לא,משיכת מזומן,על קיר הסניף,כן,34.812181,31.896297
13,"13001-בנק אגוד לישראל בע""מ",94,941,יצחק בן צבי 7,,באר שבע,לא,משיכת מזומן,על קיר הסניף,לא,34.798687,31.244128
13,"13001-בנק אגוד לישראל בע""מ",95,951,הבונים 3,,נתניה,לא,משיכת מזומן,על קיר הסניף,לא,34.860666,32.280368
13,"13001-בנק אגוד לישראל בע""מ",141,1411,תמוז 14,אשדוד,אשדוד,כן,משיכת מזומן,"במרחק של יותר מ- 500 מטר מהסניף
",לא,0,0
13,"13001-בנק אגוד לישראל בע""מ",143,1431,שמאי 1,,אלעד,לא,משיכת מזומן,על קיר הסניף,לא,34.950394,32.050887
13,"13001-בנק אגוד לישראל בע""מ",144,1441,שלמה המלך 40,,קריית אונו,לא,משיכת מזומן,על קיר הסניף,כן,34.863072,32.05497
13,"13001-בנק אגוד לישראל בע""מ",145,1451,שמעון פרס   33,,ראשון לציון,לא,משיכת מזומן,על קיר הסניף,לא,,
13,"13001-בנק אגוד לישראל בע""מ",145,1452,שמעון פרס   33,,ראשון לציון,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,לא,,
13,"13001-בנק אגוד לישראל בע""מ",146,1461,מלכי ישראל 178,,קריית גת,לא,משיכת מזומן,על קיר הסניף,לא,34.75876,31.603778
13,"13001-בנק אגוד לישראל בע""מ",147,1471,יהודה הנשיא 2,,בית שמש,לא,משיכת מזומן,על קיר הסניף,לא,,
13,"13001-בנק אגוד לישראל בע""מ",148,1481,אהרונוביץ 10,,בני ברק,לא,משיכת מזומן,על קיר הסניף,כן,34.838953,32.09104
13,"13001-בנק אגוד לישראל בע""מ",152,1521,סוקולוב 15,,הוד השרון,לא,משיכת מזומן,על קיר הסניף,לא,34.902197,32.163689
13,"13001-בנק אגוד לישראל בע""מ",153,1531,שד' ירושלים 18,,קריית ביאליק,לא,משיכת מזומן,על קיר הסניף,לא,35.078349,32.824724
13,"13001-בנק אגוד לישראל בע""מ",154,1541,גינת עמק זבולון 24,,מודיעין-מכבים-רעות*,לא,משיכת מזומן,על קיר הסניף,לא,34.997864,31.907249
